Name of the College,Location,Webinar Date,Workshop Mode,Organizer,Usage,Participants
Joginpally B.R.Engineering College,"Survey No. 156 To 162, Yenkapally village, Moinabad Mandal, Hyderabad, Telangana ",30 Oct 2019,Offline,Nodal Center,580,35
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",11 Nov 2019,Offline,Nodal Center,429,30
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",14 Nov 2019,Offline,Nodal Center,425,84
Vasavi College of Engineering,"Vasavi college, Ibrahim Bagh, Hyderabad, Telangana ",5 Oct 2019,Offline,Nodal Center,323,30
Joginpally B.R.Engineering College,"Survey No. 156 To 162, Yenkapally village, Moinabad Mandal, Hyderabad, Telangana ",2 Nov 2019,Offline,Nodal Center,221,22
CMR Engineering College,"Kandlakoya Village, Medchal Rd, Hyderabad, Telangana 501401",20 Aug 2019,Offline,Nodal Center,214,214
Sree Chaitanya College of Engineering,"LMD Colony, Timmapur, LMD Colony, Karimnagar, Telangana",8 Aug 2019,Offline,Nodal Center,168,24
Joginpally B.R.Engineering College,"Survey No. 156 To 162, Yenkapally village, Moinabad Mandal, Hyderabad, Telangana ",9 Dec 2019,Offline,Nodal Center,132,20
Joginpally B.R.Engineering College,"Survey No. 156 To 162, Yenkapally village, Moinabad Mandal, Hyderabad, Telangana ",28 Nov 2019,Offline,Nodal Center,115,23
Matrusri Engineering College,"16-1-486, Saidabad Rd, DBR Enclave, Sapota Bagh, New Malakpet, Hyderabad, Telangana ",11 Jul 2019,Offline,Nodal Center,92,23
